name,price,sample,valuable,bench,bench_low,bench_high
WD Green 2TB (2011),35,212000,58.2,50.9,31,67
Fujitsu MHY2250BH 250GB,34,1100,3.08,21,8,30
Seagate ST9320325AS 320GB,34,18000,5.28,28.1,10,39
WD Se 2TB (2013),34,2100,88.1,74.8,50,93
Toshiba P300 1TB,34,318000,49.5,84.1,52,107
WD RE4 250GB (2010),33,1300,8.83,58.5,28,79
Hitachi HTS722020K9SA00 200GB,33,231,3.42,28.2,13,37
WD Blue 640GB (2008),33,94000,19.3,49.6,31,62
WD Blue 2.5" 250GB (2010),33,2800,4.31,28.2,12,41
Seagate Barracuda 500GB (2016),32,16000,25.3,80.9,35,114
Seagate Desktop SSHD 1TB,32,105000,52,83.2,48,112
WD Black 1TB (2013),32,240000,51.5,82.3,50,108
Seagate ST3500410SV 500GB,31,2400,17.7,55.4,28,72
WD Blue 1TB (2012),31,3100000,53.9,83.4,52,109
WD Blue 1TB (2015),31,52000,43.6,67.4,45,87
WD Blue 250GB (2010),30,50000,8.22,50.1,21,70
Hitachi HTS542525K9SA00 250GB,30,3100,3.74,22.4,7,31
Samsung HM250HJ 250GB,30,462,7.65,45.9,21,60
Seagate Barracuda 7200.14 250GB,30,32000,9.05,54.3,18,74
Seagate Momentus 5400.6 2.5" 500GB,30,83000,10.4,31.3,9,43
Hitachi HTS543225L9A300 250GB,30,4300,3.79,22.7,7,36
Toshiba MK1652GSX 160GB,30,2100,2.69,25.2,12,34
Hitachi HTS545016B9A300 160GB,30,3500,2.45,22.9,6,34
WD Blue 2.5" 250GB (2009),30,16000,4.83,29,13,41
Seagate ST3160318AS 160GB,29,15000,4.5,40.8,14,58
Seagate Barracuda 7200.14 320GB,29,3400,11,49.9,26,65
WD Re 2TB,28,16000,95.3,66.7,42,83
WD Re 2TB (2012),28,5800,105,73.7,50,90
WD Blue 2.5" 80GB (2009),28,384,1.53,26.8,14,36
WD Blue 250GB (2007),27,41000,7.25,39.3,21,55
Toshiba DT01ACA050 500GB,26,163000,28.9,75.1,29,103
Hitachi HTS542512K9SA00 120GB,25,1700,2.06,21.4,8,31
Toshiba DT01ACA100 1TB,25,763000,67.2,84,47,107
