name,price,sample,valuable,bench,bench_low,bench_high
HP EX950 NVMe PCIe M.2 1TB,90,5100,114,284,170,380
Samsung 980 Pro NVMe PCIe M.2 1TB,90,327000,152,385,266,477
WD Blue SATA M.2 250GB,89,7500,11.4,80.6,61,100
Kingston SSDNow KC300 120GB,88,2300,5.86,71.5,52,86
Samsung 840 Evo 250GB,88,217000,13.7,95.9,64,118
OCZ ARC 100 480GB,86,1800,20.3,86.1,62,101
WD Black SN850 NVMe PCIe M.2 500GB,86,771,92.5,379,253,480
Samsung 850 Evo 500GB,85,695000,27.5,112,80,134
WD Black SN750 SE NVMe PCIe M.2 1TB,85,28000,98.9,239,134,328
Samsung 840 Evo 120GB,85,104000,7.7,91.4,63,108
Samsung 970 Evo NVMe PCIe M.2 500GB,84,381000,67.6,273,199,340
Transcend MTS400 M.2 128GB,82,647,6.03,66.6,47,84
Crucial P2 3D NVMe PCIe M.2 500GB,82,55000,41.9,166,47,253
Samsung 860 Evo 250GB,82,296000,15.6,104,75,128
Crucial M500 480GB,81,9100,20.5,83,59,100
SanDisk Ultra 3D 250GB,81,5700,12.9,85.4,59,106
Samsung 990 Evo M.2 1TB,80,816,137,318,228,397
Crucial BX200 960GB,80,1100,34.7,82.7,60,100
Intel 760p Series NVMe PCIe M.2 256GB,80,20000,29.6,190,131,244
Crucial MX500 1TB,80,202000,46,106,75,125
Kingston SSDNow KC300 240GB,80,2000,11.6,78.3,56,94
Kingston HyperX 3K 120GB,79,46000,6.59,74.1,57,87
Intel DC P3700 Series NVMe PCIe 400GB,79,61,45.8,208,119,256
Samsung 980 NVMe PCIe M.2 500GB,78,92000,58.8,224,144,295
WD Black SN850X M.2 1TB,75,37000,201,443,256,615
WD Blue 250GB,75,26000,12.7,79.5,59,100
Samsung 980 NVMe PCIe M.2 1TB,75,262000,114,251,149,365
WD Black SN750 NVMe PCIe M.2 500GB (2019),75,109000,65.7,244,168,297
Samsung 970 Evo Plus NVMe PCIe M.2 1TB,75,455000,141,310,188,410
Samsung 960 Evo NVMe PCIe M.2 250GB,74,240000,32.2,199,142,236
Crucial M500 240GB,73,31000,12.2,76.6,57,91
HP S700 Pro 512GB,73,1200,28.2,100,73,120
Crucial P1 3D NVMe PCIe M.2 500GB,71,78000,50.3,179,103,242
Intel 660p NVMe PCIe M.2 1TB,70,163000,93,191,127,255
HP EX900 NVMe PCIe M.2 1TB,70,133,89.6,184,113,264
Samsung 970 Evo Plus NVMe PCIe M.2 500GB,69,495000,78.9,275,178,346
HP EX920 NVMe PCIe M.2 512GB,69,8100,67,229,153,308
Adata Ultimate SU800 256GB,69,40000,15.8,90.7,60,118
WD Blue 3D SATA M.2 500GB,68,27000,28.1,96.8,72,116
Adata XPG SX8200 Pro NVMe PCIe M.2 1TB,60,85000,152,279,175,372
WD Black SN750 SE NVMe PCIe M.2 500GB,60,12000,69.9,219,122,296
Crucial M550 128GB,60,2600,9.82,85.6,58,104
Intel 670p NVMe PCIe M.2 1TB,60,14000,137,251,137,383
Intel 530 Series 120GB,59,15000,7.46,67.4,51,79
Kingston SSDNow KC300 60GB,59,675,4.32,65.6,51,79
HP EX900 NVMe PCIe M.2 500GB,58,10000,59.7,183,116,248
Crucial BX300 240GB,57,7200,18,94.5,65,114
Toshiba OCZ TL100 240GB,56,10000,12.2,62.8,22,89
PNY CS2211 480GB,55,2100,30.4,92.2,63,113
Samsung 970 Evo Plus NVMe PCIe M.2 250GB,55,87000,47.3,234,152,302
WD Blue 3D SATA M.2 250GB,55,9400,17.2,84.7,64,104
SanDisk X400 128GB,53,920,9.26,73.4,51,93
HP EX950 NVMe PCIe M.2 512GB,50,2200,94.8,255,155,339
Samsung 870 EVO 500GB,50,60000,38,104,73,130
Intel 600p Series NVMe PCIe M.2 256GB,49,58000,26,116,79,157
Corsair Force MP500 NVMe PCIe M.2 240GB,49,14000,32.3,151,106,210
Crucial BX100 500GB,49,13000,34,91.6,67,108
WD Green SATA M.2 120GB,47,6500,6.98,53.1,35,73
Crucial MX500 500GB,47,237000,40.7,106,78,125
HP S700 250GB,46,9800,15.4,66.3,33,98
Adata XPG SX6000 NVMe PCIe M.2 128GB,45,6800,16.1,113,59,140
Kingston A400 120GB,45,166000,8.31,61.3,33,85
Crucial BX300 120GB,42,7100,12.4,86.5,59,115
PNY CS900 240GB,42,61000,17.5,72.9,43,91
HP S700 Pro 128GB,40,642,13.4,86.4,56,112
Gigabyte SSD 120GB,40,13000,10.4,69.9,38,86
SanDisk Ultra II 240GB,40,53000,20.5,82.2,58,101
Crucial MX300 275GB,40,67000,21.9,79.4,53,95
SanDisk SSD Plus 480GB,39,16000,23,53.3,30,76
HP EX920 NVMe PCIe M.2 256GB,38,2400,48.2,179,117,257
Transcend SSD220 240GB,38,12000,18.4,71.4,40,93
Crucial MX500 250GB,38,77000,27,101,73,123
PNY CS900 480GB,38,17000,34.5,79.3,47,102
Intel 660p NVMe PCIe M.2 512GB,37,162000,72.6,156,94,209
Plextor M6S 256GB,37,1600,24.7,88.9,64,104
