name,price,sample,valuable,bench,bench_low,bench_high
Intel Core i3 530 £168,£168,16000,50.5,45.6,33,51
AMD Ryzen 5 8600G £165,£165,36,103,92.1,85,102
Intel Core i7-4770S £165,£165,13000,79.3,71.2,59,80
Intel Core i5-13400F £164,£164,8300,118,106,101,110
Intel Core i3-14100 £161,£161,41,109,97.1,92,104
Intel Core i5 M 540 £161,£161,8300,45.9,40.9,27,48
Intel Core i5-8400 £160,£160,312000,91.9,81.8,61,89
Intel Core i5-4670K £155,£155,128000,77,68,51,79
Intel Core i5-11500 £154,£154,2700,109,96.1,90,102
AMD Ryzen 7 5700G £153,£153,17000,99.8,87.7,69,105
AMD Ryzen 7 5800X £151,£151,65000,112,98,81,111
Intel Core i5-12600KF £150,£150,40000,125,109,101,117
AMD Ryzen 7 2700X £150,£150,159000,86.6,75.7,61,89
Intel Xeon E5506 £150,£150,722,62,54.2,44,59
Intel Core i7-4770K £150,£150,172000,84.2,73.6,60,84
Intel Pentium G645 £147,£147,5700,57.4,49.9,37,58
Intel Pentium G6950 £146,£146,1000,47,40.7,28,46
AMD Ryzen 7 5700X £146,£146,12000,111,96.1,85,111
Intel Core i5-10600K £143,£143,70000,107,92.2,81,100
Intel Core i5-9600K £140,£140,321000,109,93.2,82,103
Intel Core i7-7700 £139,£139,256000,89.1,76.2,63,84
Intel Core i5-11600KF £137,£137,9200,116,99.1,92,107
Intel Core i5-12400 £136,£136,17000,115,98.2,91,106
Intel Core i3-13100 £131,£131,207,114,96.3,91,102
AMD Ryzen 7 3700X £130,£130,635000,102,85.9,76,94
AMD Ryzen 5 8500G £130,£130,59,106,89,76,99
Intel Core i5-8500 £130,£130,43000,97.7,82.1,60,90
Intel Core i5-7600K £130,£130,195000,90.2,75.8,59,89
Intel Core i5-4670 £129,£129,49000,79.3,66.5,47,77
Intel Core i3-9100 £129,£129,7600,95,79.7,67,88
AMD Ryzen 5 5600X £129,£129,383000,114,95.9,83,107
Intel Core i5-11600 £127,£127,2200,116,97,89,104
Intel Core i5-9400F £120,£120,299000,103,84.8,72,91
Intel Core i5-11400 £116,£116,24000,116,94.2,89,101
Intel Pentium G2120 £116,£116,1800,64.7,52.6,39,60
Intel Core i5-10400 £115,£115,71000,104,84.5,69,91
AMD Ryzen 5 5600 £111,£111,4100,116,93,84,105
Intel Core i5-10600KF £111,£111,24000,114,91.9,81,100
Intel Pentium E5500 £110,£110,7400,45.6,36.6,24,43
Intel Core i7-6700 £110,£110,282000,90.1,72.3,60,80
Intel Core i3-9100F £110,£110,34000,99.8,80.1,72,86
AMD Ryzen 5 5600G £109,£109,14000,108,86.1,84,99
Intel Core i3-13100F £108,£108,997,120,96,90,101
Intel Celeron G5920 £106,£106,68,70.2,55.9,47,64
Intel Core i3-14100F £106,£106,92,122,96.9,91,105
Intel Core i5-10400F £104,£104,153000,108,85.2,75,92
Intel Core i5-12400F £99,£99,48000,126,98,92,105
Intel Core i5-7400 £99,£99,234000,81.5,63.5,43,73
Intel Core i5-4690 £99,£99,73000,86.1,67.1,50,77
Intel Core i7-6800K £99,£99,50000,104,80.9,71,90
Intel Core i5-11400F £99,£99,46000,121,94.2,88,101
Intel Core i7-4930K £98,£98,22000,98.8,76.9,67,88
Intel Core i3-12100 £96,£96,2200,122,94.3,87,100
Intel Celeron E3300 £96,£96,2400,46.1,35.6,22,43
Intel Core i3-7350K £95,£95,4000,92.7,71.5,57,80
Intel Pentium E5300 £94,£94,18000,46.8,35.9,22,43
Intel Celeron E3200 £90,£90,981,47,35.7,24,43
Intel Core i5-4570 £90,£90,129000,82.2,62.4,46,72
Intel Core i5-7600 £88,£88,39000,95.4,72,54,82
Intel Core i5-6500 £87,£87,241000,84.5,63.6,43,73
AMD Ryzen 5 5500 £84,£84,13000,115,86,73,101
Intel Core i3-10100 £79,£79,24000,109,79.9,65,86
AMD Ryzen 5 3600 £77,£77,1000000,114,83.1,73,92
Intel Core i5-6400 £77,£77,171000,83.6,60.8,39,71
Intel Core i5-6600 £77,£77,80000,92.9,67.6,47,77
Intel Core i5-2400 £75,£75,166000,83.9,60.6,42,70
Intel Core i5-7500 £70,£70,149000,94.2,66.8,45,78
Intel Core i3-8100 £70,£70,81000,99.7,70.6,53,80
Intel Core i3-12100F £70,£70,11000,133,94.1,90,99
Intel Core i3-7100 £65,£65,79000,82.1,57,33,69
AMD Ryzen 5 3400G £65,£65,93000,98.1,68.1,54,78
Intel Core i3-6100T £65,£65,6000,83,57.6,37,68
Intel Xeon E5620 £62,£62,3500,86.4,59.4,47,67
